ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11555228,JC103069,1/3/2019 12:30,002XX E RANDOLPH ST,870,THEFT,POCKET-PICKING,RESTAURANT,FALSE,FALSE,114,1,42,32,6,1177922,1901312,2019,1/10/2019 15:16,41.88452109,-87.62209989,"(41.884521087, -87.622099893)"
11555230,JC102710,1/3/2019 8:44,078XX S CONSTANCE AVE,610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,FALSE,FALSE,414,4,8,43,5,1189897,1853362,2019,1/10/2019 15:16,41.75266279,-87.57967133,"(41.752662793, -87.579671327)"
11555236,JC103119,1/3/2019 12:45,026XX W MARQUETTE RD,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,831,8,17,66,6,1160111,1860129,2019,1/10/2019 15:16,41.7718966,-87.68863898,"(41.771896595, -87.688638979)"
11555249,JC102970,1/3/2019 12:02,031XX N CENTRAL AVE,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SMALL RETAIL STORE,FALSE,FALSE,2514,25,31,19,3,1138482,1920401,2019,1/10/2019 15:16,41.93770918,-87.76646681,"(41.937709178, -87.766466806)"
11555256,JC102935,1/3/2019 11:45,062XX N CLAREMONT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE-GARAGE,FALSE,FALSE,2413,24,50,2,7,1159519,1941372,2019,1/10/2019 15:16,41.99484692,-87.68857156,"(41.994846917, -87.688571564)"
11555260,JC103130,1/3/2019 13:38,006XX N ORLEANS ST,810,THEFT,OVER $500,OTHER,FALSE,FALSE,1831,18,42,8,6,1173825,1904211,2019,1/10/2019 15:16,41.89256831,-87.63705809,"(41.892568305, -87.637058091)"
11555263,JC103184,1/2/2019 18:30,027XX N HERMITAGE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1931,19,32,7,5,1164190,1918318,2019,1/10/2019 15:16,41.93148796,-87.67204394,"(41.931487963, -87.672043944)"
11555264,JC102961,1/3/2019 11:30,062XX S INDIANA AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,311,3,20,40,5,1178641,1863698,2019,1/10/2019 15:16,41.78128905,-87.62060567,"(41.781289054, -87.620605666)"
11555268,JC103172,1/3/2019 14:01,033XX W CHICAGO AVE,320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,FALSE,FALSE,1121,11,27,23,3,1153750,1905130,2019,1/23/2019 11:23,41.89551349,-87.71076105,"(41.895513492, -87.710761053)"
11555270,JC103024,1/1/2019 14:00,049XX W SUNNYSIDE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1623,16,45,15,7,1142424,1929461,2019,1/10/2019 15:16,41.9624982,-87.75175309,"(41.962498197, -87.751753088)"
