Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.008E+13,12/9/2008,228,12/9/2008,233,CAR PROWL,THEFT-CARPROWL,NORTH,J,J3,PHINNEY RIDGE
2.008E+13,12/9/2008,330,12/9/2008,1118,CAR PROWL,THEFT-CARPROWL,WEST,D,D2,QUEEN ANNE
2.008E+13,12/9/2008,425,12/9/2008,425,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/9/2008,430,12/9/2008,526,CAR PROWL,THEFT-CARPROWL,NORTH,J,J1,GREENWOOD
2.008E+13,12/9/2008,453,12/9/2008,536,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,U,U3,SANDPOINT
2.008E+13,12/9/2008,500,12/9/2008,508,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,EAST,G,G1,FIRST HILL
2.008E+13,12/9/2008,630,12/9/2008,1531,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/9/2008,740,12/9/2008,1332,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,L,L1,LAKECITY
2.008E+13,12/9/2008,745,12/9/2008,907,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.008E+13,12/9/2008,800,12/10/2008,1424,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B2,BALLARD SOUTH
2.008E+13,12/9/2008,800,12/10/2008,1312,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S1,SOUTH BEACON HILL
2.008E+13,12/9/2008,830,12/9/2008,2054,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.008E+13,12/9/2008,845,12/9/2008,1010,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,SOUTHWEST,W,W1,NORTH DELRIDGE
2.008E+13,12/9/2008,900,12/9/2008,914,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S1,MID BEACON HILL
2.008E+13,12/9/2008,913,12/9/2008,913,CAR PROWL,THEFT-AUTOACC,SOUTH,R,R1,MID BEACON HILL
2.008E+13,12/9/2008,1000,12/9/2008,2014,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J1,GREENWOOD
2.008E+13,12/9/2008,1000,12/10/2008,1117,CAR PROWL,THEFT-CARPROWL,SOUTH,O,O2,GEORGETOWN
2.008E+13,12/9/2008,1000,12/11/2008,757,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,E,E3,FIRST HILL
2.008E+13,12/9/2008,1026,12/9/2008,1026,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,U,U3,ROOSEVELT/RAVENNA
2.008E+13,12/9/2008,1030,12/9/2008,1341,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,L,L2,NORTHGATE
