Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
20180000379789,09/29/2018,1200,10/10/2018,1759,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,NORTH,B,B2,FREMONT
20180000369167,09/29/2018,1200,10/02/2018,2056,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
20180000375785,09/29/2018,1200,10/07/2018,2153,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,SOUTHWEST,W,W2,ALASKA JUNCTION
20180000366224,09/29/2018,1200,09/30/2018,1830,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B3,WALLINGFORD
20180000364645,09/29/2018,1204,09/29/2018,1221,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,O,O1,SODO
20180000365507,09/29/2018,1340,09/30/2018,148,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L2,NORTHGATE
20180000364834,09/29/2018,1404,09/29/2018,1451,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O3,GEORGETOWN
20180000909086,09/29/2018,1405,09/29/2018,1628,THEFT-BICYCLE,THEFT-BICYCLE,SOUTH,R,R3,COLUMBIA CITY
20180000364774,09/29/2018,1405,09/29/2018,1519,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-WEAPON,NORTH,N,N2,NORTHGATE
20180000366087,09/29/2018,1420,09/30/2018,1446,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W3,FAUNTLEROY SW
20180000364545,09/29/2018,1442,09/29/2018,1639,THEFT-BICYCLE,THEFT-BICYCLE,WEST,M,M2,DOWNTOWN COMMERCIAL
20180000367125,09/29/2018,1445,10/01/2018,1059,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L2,NORTHGATE
20180000364945,09/29/2018,1500,09/29/2018,1624,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,U,U3,ROOSEVELT/RAVENNA
20180000405231,09/29/2018,1557,10/29/2018,1557,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E1,CAPITOL HILL
20180000368556,09/29/2018,1600,10/02/2018,1129,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S2,BRIGHTON/DUNLAP
20180000364943,09/29/2018,1620,09/29/2018,1625,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
